id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
550833,05-01-2016,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,2.71,0.42
550834,15-03-2016,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,2.79,0.08
550835,25-08-2016,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,1.23,-1.56
550836,05-11-2016,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,3,1.77
550837,05-01-2017,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,2.82,-0.18
550838,15-03-2017,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.52,1.7
550839,25-08-2017,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,2.62,-1.9
550840,05-11-2017,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,3.27,0.65
550841,25-03-2018,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.54,1.27
550842,29-08-2018,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,3.75,-0.79
550843,16-11-2018,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,2.99,-0.76
550844,29-01-2019,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.54,1.55
550845,16-03-2019,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.82,0.28
550846,13-08-2019,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,3.13,-1.69
550847,29-11-2019,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.2,1.07
550848,09-01-2020,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.1,-0.1
550849,09-01-2021,Arunachal Pradesh,12,Lohit,234,Lathow,27.66667,95.875,Brahamaputra,Brahmaputra Upper,CGWB,4.37,0.27
